Country Name,Country Code,Series Name,Series Code,Year,Value
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,-9.431974070086198
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,138.7068216761131
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2001,20284307.0
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,8.863730660487604
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,1326.4165238807702
Albania,ALB,"Population, total",SP.POP.TOTL,2001,3060173.0
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,2.999999998630429
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,1896.3002087801287
Algeria,DZA,"Population, total",SP.POP.TOTL,2001,31331221.0
American Samoa,ASM,"Population, total",SP.POP.TOTL,2001,57053.0
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,8.119357721699487
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,23511.29695008812
Andorra,AND,"Population, total",SP.POP.TOTL,2001,65852.0
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,4.2059985561950555
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,533.5862024124473
Angola,AGO,"Population, total",SP.POP.TOTL,2001,16747208.0
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,-4.548109771202945
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,11539.182506330753
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2001,76069.0
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,-4.408839682585565
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,7141.475076628263
Argentina,ARG,Gini index,SI.POV.GINI,2001,53.3
Argentina,ARG,"Population, total",SP.POP.TOTL,2001,37624825.0
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,9.599999999275965
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,659.5889885356293
Armenia,ARM,Gini index,SI.POV.GINI,2001,35.4
Armenia,ARM,"Population, total",SP.POP.TOTL,2001,3211800.0
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,4.182001630477899
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,20740.132582817216
Aruba,ABW,"Population, total",SP.POP.TOTL,2001,91439.0
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,2.0314588024889844
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,19733.651010264537
Australia,AUS,Gini index,SI.POV.GINI,2001,33.5
Australia,AUS,"Population, total",SP.POP.TOTL,2001,19274701.0
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,1.3169874957133914
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,24430.495982840985
Austria,AUT,"Population, total",SP.POP.TOTL,2001,8042293.0
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,9.899999865336426
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,703.6709985846863
Azerbaijan,AZE,Gini index,SI.POV.GINI,2001,36.5
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,2001,8111200.0
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,2.626009826834249
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,25371.92376676143
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,2001,327836.0
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,2.4909487533835204
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,13573.233988759745
Bahrain,BHR,"Population, total",SP.POP.TOTL,2001,661316.0
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,5.07728777526728
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,394.65641001891026
Bangladesh,BGD,"Population, total",SP.POP.TOTL,2001,136805810.0
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,-2.365464667444243
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,11639.516052205392
Barbados,BRB,"Population, total",SP.POP.TOTL,2001,262425.0
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,4.725306051110948
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,1244.373185234307
Belarus,BLR,Gini index,SI.POV.GINI,2001,30.6
Belarus,BLR,"Population, total",SP.POP.TOTL,2001,9928549.0
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,1.0996036241964475
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,23015.071263246195
Belgium,BEL,"Population, total",SP.POP.TOTL,2001,10286570.0
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,4.993562061438638
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,4718.777151047391
Belize,BLZ,"Population, total",SP.POP.TOTL,2001,248379.0
